kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
PARAMETER	org.greenrobot.eventbus.EventBus	handleSubscriberException(org.greenrobot.eventbus.Subscription,java.lang.Object,java.lang.Throwable)	event	1	/home/nima/Desktop/docker/benchmarks/eventbus/EventBus/src/org/greenrobot/eventbus/EventBus.java	PASS_NULLABLE	nullable	org.greenrobot.eventbus.EventBus	invokeSubscriber(org.greenrobot.eventbus.Subscription,java.lang.Object)
FIELD	org.greenrobot.eventbus.SubscriberMethod	null	methodString	null	/home/nima/Desktop/docker/benchmarks/eventbus/EventBus/src/org/greenrobot/eventbus/SubscriberMethod.java	METHOD_NO_INIT	nullable	org.greenrobot.eventbus.SubscriberMethod	null
FIELD	org.greenrobot.eventbus.EventBusBuilder	null	subscriberInfoIndexes	null	/home/nima/Desktop/docker/benchmarks/eventbus/EventBus/src/org/greenrobot/eventbus/EventBusBuilder.java	METHOD_NO_INIT	nullable	org.greenrobot.eventbus.EventBusBuilder	null
FIELD	org.greenrobot.eventbus.SubscriberMethodFinder$FindState	null	clazz	null	/home/nima/Desktop/docker/benchmarks/eventbus/EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java	ASSIGN_FIELD_NULLABLE	nullable	org.greenrobot.eventbus.SubscriberMethodFinder$FindState	recycle()
FIELD	org.greenrobot.eventbus.SubscriberMethodFinder$FindState	null	clazz	null	/home/nima/Desktop/docker/benchmarks/eventbus/EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java	ASSIGN_FIELD_NULLABLE	nullable	org.greenrobot.eventbus.SubscriberMethodFinder$FindState	moveToSuperclass()
FIELD	org.greenrobot.eventbus.SubscriberMethodFinder$FindState	null	clazz	null	/home/nima/Desktop/docker/benchmarks/eventbus/EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java	ASSIGN_FIELD_NULLABLE	nullable	org.greenrobot.eventbus.SubscriberMethodFinder$FindState	moveToSuperclass()
FIELD	org.greenrobot.eventbus.util.ErrorDialogManager	null	factory	null	/home/nima/Desktop/docker/benchmarks/eventbus/EventBus/src/org/greenrobot/eventbus/util/ErrorDialogManager.java	FIELD_NO_INIT	nullable	org.greenrobot.eventbus.util.ErrorDialogManager	null
FIELD	org.greenrobot.eventbus.util.ErrorDialogManager$SupportManagerFragment	null	argumentsForErrorDialog	null	/home/nima/Desktop/docker/benchmarks/eventbus/EventBus/src/org/greenrobot/eventbus/util/ErrorDialogManager.java	METHOD_NO_INIT	nullable	org.greenrobot.eventbus.util.ErrorDialogManager$SupportManagerFragment	null
PARAMETER	org.greenrobot.eventbus.util.ErrorDialogManager	attachTo(android.app.Activity,java.lang.Object,boolean,android.os.Bundle)	argumentsForErrorDialog	3	/home/nima/Desktop/docker/benchmarks/eventbus/EventBus/src/org/greenrobot/eventbus/util/ErrorDialogManager.java	PASS_NULLABLE	nullable	org.greenrobot.eventbus.util.ErrorDialogManager	attachTo(android.app.Activity,boolean,android.os.Bundle)
