message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path	infos
DEREFERENCE_NULLABLE	dereferenced expression postingState.subscription is @Nullable	org.greenrobot.eventbus.EventBus	cancelEventDelivery(java.lang.Object)	12004	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/EventBus.java	null	null	null	null	null	null	postingState.subscription---field---org.greenrobot.eventbus.EventBus$PostingThreadState---true---subscription---12004
DEREFERENCE_NULLABLE	dereferenced expression mainThreadPoster is @Nullable	org.greenrobot.eventbus.EventBus	postToSubscription(org.greenrobot.eventbus.Subscription,java.lang.Object,boolean)	16724	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/EventBus.java	null	null	null	null	null	null	mainThreadPoster---field---org.greenrobot.eventbus.EventBus---true---mainThreadPoster---16724
DEREFERENCE_NULLABLE	dereferenced expression subscription is @Nullable	org.greenrobot.eventbus.EventBus	invokeSubscriber(org.greenrobot.eventbus.PendingPost)	19160	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/EventBus.java	null	null	null	null	null	null	subscription---local_variable---org.greenrobot.eventbus.EventBus---true---subscription---19160
DEREFERENCE_NULLABLE	dereferenced expression event is @Nullable	org.greenrobot.eventbus.EventBus	handleSubscriberException(org.greenrobot.eventbus.Subscription,java.lang.Object,java.lang.Throwable)	20753	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/EventBus.java	null	null	null	null	null	null	event---parameter---org.greenrobot.eventbus.EventBus---true---event---20753
METHOD_NO_INIT	initializer method does not guarantee @NonNull field methodString (line 29) is initialized along all control-flow paths (remember to check for exceptions or early returns).	org.greenrobot.eventbus.SubscriberMethod	SubscriberMethod(java.lang.reflect.Method,java.lang.Class,org.greenrobot.eventbus.ThreadMode,int,boolean)	1042	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/SubscriberMethod.java	null	null	null	null	null	null
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.greenrobot.eventbus.SubscriberMethodFinder$FindState	recycle()	9302	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java	FIELD	org.greenrobot.eventbus.SubscriberMethodFinder$FindState	null	clazz	null	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.greenrobot.eventbus.SubscriberMethodFinder$FindState	moveToSuperclass()	11059	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java	FIELD	org.greenrobot.eventbus.SubscriberMethodFinder$FindState	null	clazz	null	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.greenrobot.eventbus.SubscriberMethodFinder$FindState	moveToSuperclass()	11513	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java	FIELD	org.greenrobot.eventbus.SubscriberMethodFinder$FindState	null	clazz	null	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/SubscriberMethodFinder.java
DEREFERENCE_NULLABLE	dereferenced expression th is @Nullable	org.greenrobot.eventbus.Logger$SystemOutLogger	log(java.util.logging.Level,java.lang.String,java.lang.Throwable)	1792	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/Logger.java	null	null	null	null	null	null	th---parameter---org.greenrobot.eventbus.Logger$SystemOutLogger---true---th---1792
FIELD_NO_INIT	@NonNull static field factory not initialized	org.greenrobot.eventbus.util.ErrorDialogManager	factory	6635	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/util/ErrorDialogManager.java	FIELD	org.greenrobot.eventbus.util.ErrorDialogManager	null	factory	null	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/util/ErrorDialogManager.java
DEREFERENCE_NULLABLE	dereferenced expression eventBus is @Nullable	org.greenrobot.eventbus.util.ErrorDialogManager$HoneycombManagerFragment	onPause()	4863	/home/nima/Developer/nullness-benchmarks/EventBus/EventBus/src/org/greenrobot/eventbus/util/ErrorDialogManager.java	null	null	null	null	null	null	eventBus---field---org.greenrobot.eventbus.util.ErrorDialogManager$HoneycombManagerFragment---true---eventBus---4863
